BN/Registration number:	Organization name:	Status: 	Type of qualified donee:	Effective date of status:	Sanction 	Designation: 	Charity type: 	Category: 	Address:	City:	Province, territory, outside of Canada:	Country:	Postal code/Zip code:	
750231003RR0001	iGlobe Health Foundation	Registered	Charity	2023-01-01		0001	Other purposes beneficial to the community	0110	6 - 20 MAGNETIC DR 	NORTH YORK	ON	CA	M3J2C4
824882849RR0001	iHealthSS Inc.	Revoked-Voluntary	Charity	2023-12-02		0003	Other purposes beneficial to the community	0110	150 GATESHEAD CRESCENT UNIT 21	STONEY CREEK	ON	CA	L8G4A7
888376597RR0001	Abbotsford Association for Healthy Aging	Registered	Charity	1996-03-23		0001	Relief of Poverty	0001	3RD - 33140 MILL LAKE RD 	ABBOTSFORD	BC	CA	V2S2A5
857641153RR0001	Aberdeen Health Foundation Society	Registered	Charity	2008-10-09		0002	Other purposes beneficial to the community	0210	835 EAST RIVER ROAD 	NEW GLASGOW	NS	CA	B2H3S6
733284319RR0001	Accerta Health Access Foundation	Registered	Charity	2019-11-13		0003	Other purposes beneficial to the community	0100	SUITE 2801 - 777 BAY STREET 	TORONTO	ON	CA	M5G2C8
107848319RR0001	Action Canada for Sexual Health and Rights / Action pour la santé et les droits sexuels	Registered	Charity	1969-12-11		0001	Other purposes beneficial to the community	0210	302 - 275 BANK ST 	OTTAWA	ON	CA	K2P2L6
733054670RR0001	Acts of Kindness for Mental Health Foundation	Registered	Charity	2021-01-11		0002	Other purposes beneficial to the community	0210	131 KING EDWARD AVE W 	VANCOUVER	BC	CA	V5Y2H8
133455709RR0001	Addiction and Mental Health Services - KFLA	Registered	Charity	1981-01-01		0001	Relief of Poverty	0001	552 PRINCESS ST 	KINGSTON	ON	CA	K7L1C7
785406109RR0001	Advocates for Health Canada	Revoked-Failure to File	Charity	2024-10-19		0001	Other purposes beneficial to the community	0110	3947 HORSESHOE VALLEY RD W 	MINESING	ON	CA	L9X1E9
846048452RR0001	Agape Unlimited Health Services	Registered	Charity	2009-07-24		0001	Other purposes beneficial to the community	0110	12 JOCELYN CRESCENT 	TORONTO	ON	CA	M3B1A2
714601481RR0001	Airdrie & Area Health Benefits Association	Revoked-Voluntary	Charity	2022-08-27		0001	Other purposes beneficial to the community	0110	7831 HUNTERQUAY RD NW 	CALGARY	AB	CA	T2K4V1
804272847RR0001	Airdrie Health Foundation	Registered	Charity	2014-05-29		0002	Other purposes beneficial to the community	0210	PO BOX 90054 RPO AIRDRIE 	AIRDRIE	AB	CA	T4B0A2
124072513RR0010	Alberta Health Services	Registered	Charity	1994-06-24		0001	Other purposes beneficial to the community	0110	10101 SOUTHPORT ROAD SW 	CALGARY	AB	CA	T2W3N2
897109278RR0001	Alberta Healthcare Auxiliaries Association	Registered	Charity	1995-01-01		0001	Other purposes beneficial to the community	0110	414 CENTRE ST PO BOX 964	VULCAN	AB	CA	T0L2B0
107796732RR0001	Alliance for Healthier Communities / Alliance pour des communautes en sante	Registered	Charity	1983-04-01		0001	Other purposes beneficial to the community	0110	970 LAWRENCE AVENUE WEST SUITE 500	TORONTO	ON	CA	M6A3B6
807025440RR0001	Altona Health Care Auxiliary	Registered	Charity	2014-02-20		0001	Other purposes beneficial to the community	0210	POST OFFICE BOX 660 	ALTONA	MB	CA	R0G0B0
849198759RR0001	Amherstburg Family Health Team	Registered	Charity	2008-06-13		0001	Other purposes beneficial to the community	0100	721 FRONT ROAD SOUTH UNIT 101	AMHERSTBURG	ON	CA	N9V2M4
119211282RR0001	Amref Health Africa in Canada	Registered	Charity	1973-07-19		0001	Other purposes beneficial to the community	0100	308 - 192 SPADINA AVE 	TORONTO	ON	CA	M5T2C2
849991914RR0001	Anishnawbe Health Foundation	Registered	Charity	2011-02-04		0002	Other purposes beneficial to the community	0210	120 - 507 KING ST E 	TORONTO	ON	CA	M5A1M3
886494095RR0001	Ara Mental Health Action Research and Advocacy Association of Greater Vancouver	Revoked-Other	Charity	2018-01-20		0001	Other purposes beneficial to the community	0110	818 MILLBANK 	VANCOUVER	BC	CA	V5Z3Z4
106722978RR0001	Arnprior Regional Health	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0100	350 JOHN ST N 	ARNPRIOR	ON	CA	K7S2P6
845624808RR0001	Arnprior Regional Health Auxiliary	Registered	Charity	1992-12-26		0001	Other purposes beneficial to the community	0110	350 JOHN STREET NORTH 	ARNPRIOR	ON	CA	K7S2P6
832583744RR0001	Arnprior Regional Health Foundation	Registered	Charity	2005-08-16		0002	Other purposes beneficial to the community	0210	350 JOHN STREET NORTH 	ARNPRIOR	ON	CA	K7S2P6
895145647RR0001	Arrow Lakes Health Care Auxiliary Society	Registered	Charity	1994-06-30		0001	Other purposes beneficial to the community	0110	BOX 519 	NAKUSP	BC	CA	V0G1R0
890847346RR0001	Arrowsmith Health Care Foundation Society	Registered	Charity	1986-07-26		0002	Other purposes beneficial to the community	0210	266 MOILLIET ST 	PARKSVILLE	BC	CA	V9P1M9
882394711RR0001	Artists in Healthcare Manitoba Inc.	Registered	Charity	2002-02-26		0001	Other purposes beneficial to the community	0110	2-1325 MARKHAM ROAD 	WINNIPEG	MB	CA	R3T4J6
709713804RR0001	Artruism Foundation for Art Prescription Therapy for the Benefit of Mental Health. / Fondation artruisme pour la prescription d'art-thérapie au bénéfice de la santé mentale	Registered	Charity	2023-06-15		0001	Other purposes beneficial to the community	0100	201-6455 RUE BEAUBIEN EST 	MONTREAL	QC	CA	H1M1B1
817021868RR0001	Arts for Health and Learning	Revoked-Voluntary	Charity	2023-12-02		0001	Other purposes beneficial to the community	0110	4 MARY STREET #3 	PERTH	ON	CA	K7H2X2
836539718RR0001	Arts Health Network Canada	Revoked-Voluntary	Charity	2021-04-10		0001	Other purposes beneficial to the community	0110	305-607 EAST 8TH AVENUE 	VANCOUVER	BC	CA	V5T1T2
765978804RR0001	Aspire Mental Health Foundation	Registered	Charity	2022-07-01		0003	Other purposes beneficial to the community	0100	97 MOTHERWELL CRES 	REGINA	SK	CA	S4S3Z3
831971189RR0001	Assiniboine Valley Health and Wellness Foundation Inc.	Registered	Charity	2015-04-07		0001	Other purposes beneficial to the community	0100	PO BOX 1958 	KAMSACK	SK	CA	S0A1S0
814517801RR0001	Association of Health Sciences Archives and Museums of Nova Scotia	Registered	Charity	2012-04-01		0001	Other purposes beneficial to the community	0210	2565 ROOSEVELT DR 	HALIFAX	NS	CA	B3L3H9
814507299RR0001	AsthGlau Health Foundation	Registered	Charity	2009-06-24		0003	Other purposes beneficial to the community	0210	PO BOX 1467 	ALMONTE	ON	CA	K0A1A0
805174026RR0001	Aurat Health Services Inc.	Revoked-Voluntary	Charity	2017-02-18		0001	Other purposes beneficial to the community	0100	4 - 315 TRADERS BLVD E 	MISSISSAUGA	ON	CA	L4Z3E4
119031672RR0001	Auxiliary to the Southwest Integrated Healthcare Facility	Registered	Charity	1975-09-12		0001	Other purposes beneficial to the community	0110	BOX 224 	MAPLE CREEK	SK	CA	S0N1N0
135866713RR0001	Auxiliary Society for Comox Valley Healthcare	Registered	Charity	1978-09-12		0001	Other purposes beneficial to the community	0110	PO BOX 1312 STN A 	COMOX	BC	CA	V9M7Z8
141015628RR0001	ABERDEEN HEALTH AND COMMUNITY SERVICES FOUNDATION	Revoked-Voluntary	Charity	2018-10-20		0002	Other purposes beneficial to the community	0210	P.O. BOX 367 96 NELSON STREET	BRANTFORD	ON	CA	N3T5N3
119284404RR0001	ABERDEEN HEALTH AND COMMUNITY SERVICES, BRANT-NORFOLK-HALDIMAND	Revoked-Other	Charity	2014-06-07		0001	Other purposes beneficial to the community	0100	446 GREY STREET 	BRANTFORD	ON	CA	N3S7L6
119283687RR0001	ABIONA CENTRE FOR INFANT & EARLY MENTAL HEALTH	Registered	Charity	1990-04-01		0001	Relief of Poverty	0001	1102 BROADVIEW AVE 	EAST YORK	ON	CA	M4K2S5
893502864RR0001	ABORIGINAL HEALTH AND WELLNESS CENTRE OF WINNIPEG INC.	Registered	Charity	1998-04-01		0001	Other purposes beneficial to the community	0210	215-181 HIGGINS AVE 	WINNIPEG	MB	CA	R3B3G1
123636664RR0001	ACCESS ALLIANCE MULTICULTURAL HEALTH AND COMMUNITY SERVICES	Registered	Charity	1991-04-01		0001	Other purposes beneficial to the community	0100	340 COLLEGE STREET SUITE#500	TORONTO	ON	CA	M5T3A9
119284602RR0001	ACCLAIM HEALTH AND COMMUNITY CARE SERVICES	Registered	Charity	1973-01-01		0001	Other purposes beneficial to the community	0100	DIRECTOR CORPORATE SERVICES 2370 SPEERS ROAD	OAKVILLE	ON	CA	L6L5M2
140988262RR0001	ACROSS BOUNDARIES: AN ETHNORACIAL MENTAL HEALTH CENTRE	Registered	Charity	1997-04-01		0001	Other purposes beneficial to the community	0110	51 CLARKSON AVE. 	TORONTO	ON	CA	M6E2T5
899813851RR0001	ACTION FOR HEALTHY COMMUNITIES SOCIETY OF EDMONTON	Registered	Charity	1999-04-01		0001	Other purposes beneficial to the community	0110	200 - 10578 113 ST NW 	EDMONTON	AB	CA	T5H3H5
118781558RR0001	ADDICTIONS AND MENTAL HEALTH ONTARIO	Registered	Charity	1984-01-01		0001	Other purposes beneficial to the community	0100	1400-180 DUNDAS STREET WEST 	TORONTO	ON	CA	M5G1Z8
894573674RR0001	ADOLESCENT HEALTH & SUPPORT CENTRE	Registered	Charity	1991-01-01		0001	Other purposes beneficial to the community	0160	110 - 10 WEBSTER ST 	KENTVILLE	NS	CA	B4N1H7
119066090RR0001	ADULT INTEGRATED MENTAL HEALTH SERVICES SOCIETY	Registered	Charity	1993-04-01		0001	Relief of Poverty	0001	9 - 3151 LAKESHORE RD STE 497	KELOWNA	BC	CA	V1W3S9
107786584RR0001	ADVENT HEALTH CARE CORPORATION	Registered	Charity	1967-01-01		0001	Other purposes beneficial to the community	0100	541 FINCH AVE WEST 	TORONTO	ON	CA	M2R3Y3
107889453RR0001	ADVENTIST HEALTH CARE HOME SOCIETY	Revoked-Voluntary	Charity	2020-02-08		0001	Other purposes beneficial to the community	0100	2281 MILLS ROAD 	SIDNEY	BC	CA	V8L2C3
106686561RR0001	ADVENTIST HEALTH EDUCATION CENTRES OF BRITISH COLUMBIA	Revoked-Failure to File	Charity	1993-11-20		0001	Other purposes beneficial to the community	0100	3019 SHAKESPEARE ST 	VICTORIA	BC	CA	V8R4H6
836551143RR0001	AFRICA SMILES ON HEALTH CARE FOUNDATION	Revoked-Failure to File	Charity	2018-01-27		0003	Other purposes beneficial to the community	0110	3201-510 6TH AVENUE SOUTH EAST 	CALGARY	AB	CA	T2G1K6
141135194RR0001	AFRICAN COMMUNITY HEALTH SERVICES	Revoked-Failure to File	Charity	2005-08-27		0001	Other purposes beneficial to the community	0100	110 SPADINA AVE SUITE #207	TORONTO	ON	CA	M5V2K4
140891359RR0001	AGR HEALTH SERVICES TO SENIORS AND OTHERS INC	Revoked-Failure to File	Charity	2004-03-27		0001	Other purposes beneficial to the community	0100	122 PORTSMOUTH BLVD APT #4	WINNIPEG	MB	CA	R3P1B6
820475895RR0001	AIDE DE SANTÉ / HELP TO HEALTH / EZER L'REFUAH - EZRAS CHOLIM	Registered	Charity	2009-11-10		0003	Other purposes beneficial to the community	0110	5615 HUTCHISON 	MONTRÉAL	QC	CA	H2V4B5
118780196RR0001	ALBERNI HEALTH OUTREACH FOR PARENTS AND INFANTS ASSOCIATION	Revoked-Voluntary	Charity	2004-03-20		0001	Relief of Poverty	0001	5155 ARGYLE STREET 	PORT ALBERNI	BC	CA	V9Y1V3
892480369RR0001	ALBERNI VALLEY HEALTH COUNCIL	Revoked-Voluntary	Charity	1997-05-03		0001	Other purposes beneficial to the community	0110	4780 ROGER STREET 	PORT ALBERNI	BC	CA	V9Y3Z2
891431140RR0001	ALBERTA ASSOCIATION FOR ENVIRONMENTAL HEALTH	Revoked-Failure to File	Charity	1997-02-22		0001	Other purposes beneficial to the community	0100	5, 2815 PALLISER DR.SW. 	CALGARY	AB	CA	T2V3S8
873721237RR0001	ALBERTA CHILDREN'S FOUNDATION FOR HEALTH AND EDUCATION	Revoked-Failure to File	Charity	2001-02-10		0001	Other purposes beneficial to the community	0100	#3000; 237 - 4TH AVENUE S.W. 	CALGARY	AB	CA	T2P4X7
137150165RR0001	ALBERTA CONSUMER HEALTH INFORMATION SOCIETY	Revoked-Voluntary	Charity	2004-02-14		0001	Other purposes beneficial to the community	0100	ALBERTA CENTRE ACTIVE LIVING 11759 GROAT ROAD, 3RD FLOOR	EDMONTON	AB	CA	T5M3K6
891287344RR0001	ALBERTA FOUNDATION FOR HEALTH RESEARCH	Registered	Charity	1994-11-17		0002	Other purposes beneficial to the community	0210	250 KARL CLARK RD NW 	EDMONTON	AB	CA	T6N1E4
106693609RR0001	ALBERTA INDIAN HEALTH CARE COMMISSION	Revoked-Failure to File	Charity	2000-02-05		0001	Other purposes beneficial to the community	0100	1370-10665 JASPER AVENUE 	EDMONTON	AB	CA	T5J3S9
106694102RR0001	ALBERTA PUBLIC HEALTH ASSOCIATION	Registered	Charity	1981-01-01		0001	Other purposes beneficial to the community	0110	PO BOX 52012 RPO GARNEAU 	EDMONTON	AB	CA	T6G2T5
135900488RR0001	ALBERTA SOCIETY FOR ENVIRONMENTAL HOUSING AND HEALTH	Revoked-Voluntary	Charity	2002-07-27		0001	Other purposes beneficial to the community	0100	TROY STOOKE 44 HAWKSLEY CRES. N W	CALGARY	AB	CA	T3G3C5
896810199RR0001	ALBERTA SOCIETY FOR PROMOTION OF SEXUAL HEALTH	Registered	Charity	1993-07-28		0001	Advancement of Education	0011	PO BOX 45002 BRENTWOOD 	CALGARY	AB	CA	T2L1Y2
877190694RR0001	ALBERTA WOMEN'S HEALTH INFORMATION NETWORK SOCIETY	Revoked-Failure to File	Charity	1999-07-24		0001	Other purposes beneficial to the community	0100	5019 MARCHAND CR NE 	CALGARY	AB	CA	T2A2X3
106687452RR0001	ALBERTA WORKERS' HEALTH CENTRE SOCIETY	Registered	Charity	1984-11-01		0001	Other purposes beneficial to the community	0100	9833 110 ST NW 	EDMONTON	AB	CA	T5K2P5
132824905RR0001	ALEXANDRA COMMUNITY HEALTH CENTRE	Registered	Charity	1991-06-14		0001	Other purposes beneficial to the community	0100	101 - 2840 2 AVE SE 	CALGARY	AB	CA	T2A7X9
895964096RR0001	ALL SAINTS COMMUNITY HEALTH CARE FOUNDATION	Registered	Charity	1994-04-01		0002	Other purposes beneficial to the community	0210	PO BOX 220 10 PRINCESS STREET	SPRINGHILL	NS	CA	B0M1X0
893261768RR0001	ALLERGY ENVIRONMENTAL HEALTH ASSOCIATION OF ONTARIO	Revoked-Failure to File	Charity	2000-03-11		0001	Advancement of Education	0011	MICMAC RPO BOX 24030 	DARTMOUTH	NS	CA	B3A4T4
135227411RR0001	ALMAGUIN HEALTH CENTRE	Revoked-Voluntary	Charity	1998-02-28		0001	Other purposes beneficial to the community	0100	BOX 520, 150 HUSTON ST 	BURK'S FALLS	ON	CA	P0A1C0
106704638RR0001	ALTERNATIVE WAYS HEALTH RESEARCH SOCIETY	Revoked-Failure to File	Charity	2005-01-29		0001	Advancement of Education	0011	PO BOX 2320 STN MAIN 	SALMON ARM	BC	CA	V1E4R3
865202139RR0001	ALTONA & DISTRICT HEALTH CARE CENTRE INC	Registered	Charity	2002-06-26		0001	Other purposes beneficial to the community	0100	POST OFFICE BOX 1630 	ALTONA	MB	CA	R0G0B0
118784602RR0001	ALTONA COMMUNITY MEMORIAL HEALTH CENTRE	Revoked-Voluntary	Charity	1998-04-25		0001	Other purposes beneficial to the community	0100	BOX 660 24-5TH AVENUE 	ALTONA	MB	CA	R0G0B0
890468044RR0001	AMHERST ASSOCIATION FOR HEALTHY ADOLESCENT SEXUALITY	Revoked-Voluntary	Charity	2012-03-03		0001	Relief of Poverty	0001	18 SOUTH ALBION STREET 	AMBERST	NS	CA	B4H2W3
896524071RR0001	AMI-QUÉBEC ALLIÉ.E.S EN SANTÉ MENTALE / AMI-QUÉBEC ALLIES IN MENTAL HEALTH	Registered	Charity	1977-12-01		0001	Other purposes beneficial to the community	0110	5800 BOUL DECARIE 	MONTREAL	QC	CA	H3X2J5
857169247RR0001	AMY'S CHILDREN HEALTH AND EDUCATIONAL CHARITY	Revoked-Voluntary	Charity	2020-01-18		0001	Other purposes beneficial to the community	0100	611 - 1130 WILSON AVE 	NORTH YORK	ON	CA	M3M1K3
130310048RR0001	ANISHNAWBE HEALTH TORONTO	Registered	Charity	1987-10-09		0001	Other purposes beneficial to the community	0100	425 CHERRY ST 	TORONTO	ON	CA	M5A0X9
888695665RR0001	ANNAPOLIS COMMUNITY HEALTH CENTRE AUXILIARY	Registered	Charity	1978-10-02		0001	Other purposes beneficial to the community	0110	821 ST GEORGE ST PO BOX 384	ANNAPOLIS ROYAL	NS	CA	B0S1A0
890997976RR0001	ANNAPOLIS WEST HEALTH FOUNDATION	Registered	Charity	1994-04-01		0002	Other purposes beneficial to the community	0210	P O BOX 242 	ANNAPOLIS	NS	CA	B0S1A0
119034049RR0001	ANTIGONISH HOME HEALTH CARE SOCIETY	Revoked-Voluntary	Charity	1998-12-05		0001	Other purposes beneficial to the community	0100	65 BEECH HILL RD 	ANTIGONISH	NS	CA	B2G2H4
